county_name,county_key,constituency_name,constituency_key,ward_name,ward_key,cluster_key,treat,treat_code
Siaya,103,Ugenya,117,North Ugenya,171,1,ink,3
Busia,101,Butula,101,Marachi Central,103,9,bracelet,4
Busia,101,Teso North,103,Ang'Urai North,111,17,bracelet,4
Busia,101,Butula,101,Elugulu,101,20,calendar,2
Siaya,103,Gem,116,Central Gem,164,26,control,1
Busia,101,Teso South,104,Chakol North,118,33,ink,3
Busia,101,Butula,101,Kingandole,102,36,ink,3
Busia,101,Teso South,104,Amukura East,115,43,bracelet,4
Busia,101,Butula,101,Marachi North,105,47,ink,3
Siaya,103,Ugenya,117,West Ugenya,173,51,bracelet,4
Busia,101,Butula,101,Marachi North,105,54,control,1
Busia,101,Butula,101,Elugulu,101,64,control,1
Siaya,103,Gem,116,South Gem,167,67,control,1
Siaya,103,Ugunja,118,Ugunja,176,70,control,1
Siaya,103,Ugenya,117,West Ugenya,173,81,calendar,2
Siaya,103,Ugenya,117,West Ugenya,173,98,calendar,2
Siaya,103,Ugunja,118,Sigomere,175,103,calendar,2
Busia,101,Nambale,102,Bukhayo East,107,108,bracelet,4
Siaya,103,Ugenya,117,West Ugenya,173,112,calendar,2
Siaya,103,Ugenya,117,East Ugenya,170,118,ink,3
Busia,101,Butula,101,Marachi Central,103,119,calendar,2
Siaya,103,Ugenya,117,East Ugenya,170,121,bracelet,4
Busia,101,Teso North,103,Malaba Central,113,129,calendar,2
Siaya,103,Ugenya,117,North Ugenya,171,140,ink,3
Busia,101,Nambale,102,Nambale Township,109,141,calendar,2
Busia,101,Teso North,103,Ang'Urai South,112,147,bracelet,4
Siaya,103,Gem,116,West Gem,168,149,control,1
Siaya,103,Ugunja,118,Ugunja,176,164,bracelet,4
Busia,101,Nambale,102,Bukhayo East,107,169,control,1
Busia,101,Teso South,104,Chakol North,118,172,ink,3
Siaya,103,Gem,116,North Gem,166,173,calendar,2
Busia,101,Teso North,103,Malaba South,114,184,calendar,2
Busia,101,Nambale,102,Bukhayo North/Waltsi,108,186,control,1
Busia,101,Teso South,104,Chakol North,118,197,ink,3
Siaya,103,Ugunja,118,Sigomere,175,210,calendar,2
Busia,101,Teso South,104,Chakol South,119,213,bracelet,4
Siaya,103,Ugenya,117,East Ugenya,170,215,bracelet,4
Siaya,103,Gem,116,East Gem,165,223,calendar,2
Busia,101,Teso North,103,Ang'Urai South,112,231,calendar,2
Busia,101,Nambale,102,Bukhayo North/Waltsi,108,234,control,1
Busia,101,Butula,101,Marachi West,106,235,bracelet,4
Busia,101,Teso North,103,Malaba South,114,238,ink,3
Busia,101,Nambale,102,Bukhayo North/Waltsi,108,249,ink,3
Busia,101,Butula,101,Marachi East,104,252,bracelet,4
Siaya,103,Gem,116,South Gem,167,254,control,1
Siaya,103,Gem,116,Yala Township,169,255,bracelet,4
Siaya,103,Ugenya,117,North Ugenya,171,259,calendar,2
Siaya,103,Ugunja,118,Sidindi,174,278,ink,3
Siaya,103,Gem,116,South Gem,167,287,bracelet,4
Busia,101,Teso North,103,Ang'Urai East,110,293,bracelet,4
Siaya,103,Gem,116,North Gem,166,298,ink,3
Busia,101,Teso North,103,Ang'Urai South,112,299,control,1
Busia,101,Nambale,102,Bukhayo East,107,306,ink,3
Siaya,103,Ugunja,118,Sidindi,174,343,bracelet,4
Siaya,103,Gem,116,Central Gem,164,360,bracelet,4
Siaya,103,Gem,116,East Gem,165,378,ink,3
Busia,101,Teso North,103,Ang'Urai East,110,392,calendar,2
Siaya,103,Gem,116,South Gem,167,408,ink,3
Siaya,103,Ugenya,117,Ukwala,172,422,bracelet,4
Siaya,103,Gem,116,West Gem,168,431,control,1
Siaya,103,Ugenya,117,East Ugenya,170,433,control,1
Siaya,103,Ugunja,118,Sidindi,174,447,control,1
Siaya,103,Ugunja,118,Ugunja,176,449,calendar,2
Busia,101,Nambale,102,Nambale Township,109,459,control,1
Busia,101,Teso South,104,Chakol South,119,476,control,1
Siaya,103,Gem,116,North Gem,166,478,ink,3
Busia,101,Teso South,104,Ang'Orom,117,491,calendar,2
Busia,101,Teso North,103,Malaba Central,113,492,control,1
Busia,101,Teso South,104,Amukura West,116,502,bracelet,4
Busia,101,Butula,101,Marachi West,106,503,ink,3
Kakamega,102,Butere,105,Marama West,123,517,bracelet,4
Kakamega,102,Butere,105,Marama North,121,551,calendar,2
Kakamega,102,Butere,105,Marenyo - Shianda,124,555,bracelet,4
Kakamega,102,Butere,105,Marama Central,120,570,bracelet,4
Kakamega,102,Butere,105,Marama West,123,587,control,1
Kakamega,102,Butere,105,Marama South,122,589,calendar,2
Kakamega,102,Butere,105,Marama South,122,605,bracelet,4
Kakamega,102,Lurambi,109,Butsotso South,135,624,calendar,2
Kakamega,102,Lurambi,109,Butsotso Central,134,630,ink,3
Kakamega,102,Lurambi,109,Sheywe,136,631,bracelet,4
Kakamega,102,Khwisero,107,Kisa North,130,648,bracelet,4
Kakamega,102,Lurambi,109,Butsotso Central,134,657,control,1
Kakamega,102,Lurambi,109,Sheywe,136,678,calendar,2
Kakamega,102,Shinyalu,115,Isukha East,160,715,control,1
Kakamega,102,Shinyalu,115,Isukha East,160,718,ink,3
Kakamega,102,Shinyalu,115,Isukha North,161,729,ink,3
Kakamega,102,Shinyalu,115,Isukha East,160,735,control,1
Kakamega,102,Shinyalu,115,Isukha East,160,737,control,1
Kakamega,102,Shinyalu,115,Isukha North,161,738,bracelet,4
Kakamega,102,Shinyalu,115,Isukha South,162,779,control,1
Kakamega,102,Shinyalu,115,Isukha Central,159,781,ink,3
Kakamega,102,Shinyalu,115,Isukha Central,159,789,bracelet,4
Kakamega,102,Shinyalu,115,Murhanda,163,796,ink,3
Kakamega,102,Shinyalu,115,Isukha South,162,798,calendar,2
Kakamega,102,Shinyalu,115,Murhanda,163,800,calendar,2
Kakamega,102,Shinyalu,115,Isukha South,162,807,control,1
Kakamega,102,Malava,110,Butali/Chegulo,137,830,ink,3
Kakamega,102,Malava,110,Butali/Chegulo,137,834,calendar,2
Kakamega,102,Malava,110,Butali/Chegulo,137,835,control,1
Kakamega,102,Malava,110,East Kabras,139,844,calendar,2
Kakamega,102,Malava,110,Chemuche,138,868,bracelet,4
Kakamega,102,Malava,110,East Kabras,139,870,control,1
Kakamega,102,Malava,110,Chemuche,138,882,ink,3
Kakamega,102,Malava,110,Manda-Shivanga,140,910,calendar,2
Kakamega,102,Malava,110,South Kabras,142,921,bracelet,4
Kakamega,102,Malava,110,South Kabras,142,929,bracelet,4
Kakamega,102,Malava,110,South Kabras,142,951,ink,3
Kakamega,102,Malava,110,South Kabras,142,954,calendar,2
Kakamega,102,Malava,110,Shirugu-Mugai,141,979,control,1
Kakamega,102,Ikolomani,106,Idakho Central,125,1008,calendar,2
Kakamega,102,Ikolomani,106,Idakho North,126,1014,ink,3
Kakamega,102,Ikolomani,106,Idakho Central,125,1026,ink,3
Kakamega,102,Ikolomani,106,Idakho South,127,1055,bracelet,4
Kakamega,102,Khwisero,107,Kisa East,129,1059,bracelet,4
Kakamega,102,Khwisero,107,Kisa East,129,1072,calendar,2
Kakamega,102,Khwisero,107,Kisa West,131,1093,control,1
Siaya,103,Gem,116,Central Gem,164,1094,ink,3
Kakamega,102,Khwisero,107,Kisa Central,128,1101,control,1
Kakamega,102,Khwisero,107,Kisa Central,128,1120,bracelet,4
