county_name,county_code,constituency_name,constituency_code,ward_name,ward_code,pot_school,cluster.id,lat.pot,lon.pot,anchor_school,anchor_ward,lat.anchor,lon.anchor,max_lat,max_lon,min_lat,min_lon,treat
Siaya,3,Ugenya,17,North Ugenya,74,KOGERE PRIMARY,1,0.235059,34.216281,SIWAR PRIMARY,Ukwala,0.220833,34.221329,0.4413512483,34.95016329,0.4232654181,34.93219999,4
Busia,1,Butula,1,Marachi Central,3,BUSIADA PRI SCH,9,0.315577,34.266173,FANAKA JUNIOR ACADEMY PRI SCH,Marachi Central,0.321242,34.278766,0.2110259399,34.67995778,0.1929373933,34.66199218,1
Busia,1,Teso North,3,Ang'Urai North,12,KAKURIKIT PRI SCH,17,0.722475,34.334725,AKIRIAMET PRI SCH,Ang'Urai North,0.733117,34.335526,0.3014655413,34.3791241,0.2833744586,34.36115586,1
Busia,1,Butula,1,Elugulu,1,KANJALA PRI SCH,20,0.37088,34.33124,KANJALA PRI SCH,Elugulu,0.37088,34.33124,0.2082272828,34.74838079,0.1901393837,34.73041584,1
Siaya,3,Gem,16,Central Gem,67,OLENGO PRIMARY,26,0.056098,34.466044,OLENGO PRIMARY,Central Gem,0.056098,34.466044,0.2756192838,34.6774895,0.257530716,34.6595238,3
Busia,1,Teso South,4,Chakol North,19,AKITES PRI SCH,33,0.57608,34.194711,OKWATA PRI SCH,Amukura West,0.59448,34.19404,0.6708556993,34.33417475,0.6527643003,34.31620522,1
Busia,1,Butula,1,Kingandole,2,KINGANDOLE PRI SCH,36,0.356179,34.236341,KINGANDOLE PRI SCH,Kingandole,0.356179,34.236341,0.242159106,34.71556596,0.2240708939,34.69760066,1
Busia,1,Teso South,4,Amukura East,16,KAMUNOIT PRI SCH,43,0.54948,34.28093,KAMUNOIT PRI SCH,Amukura East,0.54948,34.28093,0.4225937564,34.40921744,0.4045029099,34.3912492,1
Busia,1,Butula,1,Marachi North,5,ISONGO PRI SCH,47,0.36105,34.37617,BUDUMA PRI SCH,Marachi North,0.36879,34.37009,0.1539343459,34.66432782,0.135845654,34.64636214,1
Siaya,3,Ugenya,17,West Ugenya,76,PAP-OLANG' PRIMARY,51,0.152281,34.141817,PAP-OLANG' PRIMARY,West Ugenya,0.152281,34.141817,0.3302878766,34.28775046,0.3121961233,34.26978151,4
Busia,1,Butula,1,Marachi North,5,SIRIBO PRI SCH,54,0.40745,34.34888,SIRIBO PRI SCH,Marachi North,0.40745,34.34888,0.1542579072,34.61392305,0.1361687593,34.59595691,1
Busia,1,Butula,1,Elugulu,1,ESIBEMBE PRI SCH,64,0.41143,34.31358,LUGULU AC PRI SCH,Elugulu,0.3946,34.30358,0.2298790774,34.23031359,0.2117869225,34.21234438,1
Siaya,3,Gem,16,South Gem,70,MALELE PRIMARY,67,-0.056184,34.412303,OSENO PRIMARY,South Gem,-0.071419,34.417456,0.3541346854,34.9311683,0.3360486478,34.91320498,3
Siaya,3,Ugunja,18,Ugunja,79,NGUNYA PRIMARY,70,0.164614,34.270408,NYAMASARE PRIMARY,Ugunja,0.165707,34.289783,0.1985154225,34.12395691,0.1804225774,34.10598706,4
Siaya,3,Ugenya,17,West Ugenya,76,HARUNGU PRIMARY,81,0.290246,34.165326,HARUNGU PRIMARY,West Ugenya,0.290246,34.165326,0.4728464857,34.90541857,0.4547601806,34.88745472,4
Siaya,3,Ugenya,17,West Ugenya,76,HAFUMBRE PRIMARY,98,0.205243,34.125298,MILAMBO PRIMARY,West Ugenya,0.189469,34.114972,0.3824912047,34.95848652,0.3644054617,34.94052343,4
Busia,1,Nambale,2,Bukhayo Central,7,MABUNGE PRI,99,0.398784037,34.26231264,MABUNGE PRI,Bukhayo Central,0.398784037,34.26231264,0.1043751174,34.48694357,0.08628488255,34.46897639,1
Siaya,3,Ugunja,18,Sigomere,78,LURU PRIMARY,103,0.218891,34.379313,LURU PRIMARY,Sigomere,0.218891,34.379313,0.3933169799,34.80944897,0.3752296865,34.79148432,4
Busia,1,Nambale,2,Bukhayo East,8,ELWANIKHA PRI,108,0.483588992,34.36049646,BUYOFU PRI,Bukhayo East,0.49973333,34.37108983,0.1340963932,34.57932153,0.1160069401,34.5613551,1
Siaya,3,Ugenya,17,West Ugenya,76,MAGOMBE PRIMARY,112,0.219933,34.156568,MAGOMBE PRIMARY,West Ugenya,0.219933,34.156568,0.5821799829,34.87341889,0.5640933502,34.8554544,4
Siaya,3,Ugenya,17,East Ugenya,73,SIRISIA PRIMARY,118,0.23999,34.2781,SIRISIA PRIMARY,East Ugenya,0.23999,34.2781,0.2992922618,34.17431082,0.2811997381,34.15634115,4
Busia,1,Butula,1,Marachi Central,3,NELAA PRI SCH,119,0.354623,34.291019,NELAA PRI SCH,Marachi Central,0.354623,34.291019,0.2279365073,34.38829702,0.2098454925,34.37032895,1
Siaya,3,Ugenya,17,East Ugenya,73,KONYA PRIMARY,121,0.29242,34.37014,KONYA PRIMARY,East Ugenya,0.29242,34.37014,0.2744636798,34.80321389,0.25637632,34.7852494,4
Busia,1,Teso North,3,Malaba Central,14,OKULEU PRI SCH,129,0.64915,34.32584,AGONG'ET PRI SCH,Malaba North,0.66181,34.32519,0.4012035815,34.4536689,0.3831130849,34.43570106,1
Siaya,3,Ugenya,17,North Ugenya,74,KAGONYA PRIMARY,140,0.269257,34.186793,UYUNDO PRIMARY,West Ugenya,0.251183,34.181745,0.4912317365,34.85705884,0.4731449299,34.83909444,4
Busia,1,Nambale,2,Nambale Township,10,ST MARY'S NAMBALE PRI,141,0.471834572,34.22961719,SUNSHINE PRI,Nambale Township,0.461845548,34.23599823,0.2490358802,34.2870844,0.2309441196,34.26911557,1
Busia,1,Teso North,3,Ang'Urai South,13,AKICHELESIT PRI SCH,147,0.69542,34.341859,KAESET PRI SCH,Ang'Urai South,0.68326,34.333317,0.4776917886,34.48438887,0.4596015446,34.46642109,1
Siaya,3,Gem,16,West Gem,71,OBER PRIMARY,149,0.013549,34.402111,ACK DIENYA PRIMARY,West Gem,0.020447,34.417493,0.2847368036,34.84479869,0.2666498629,34.8268346,4
Siaya,3,Ugunja,18,Ugunja,79,RADUODI PRIMARY,164,0.180751,34.256721,ULAWE PRIMARY,Ugunja,0.17969,34.23719,0.40782997,34.27129723,0.3897381038,34.25332801,4
Busia,1,Nambale,2,Bukhayo East,8,MADIBO PRI,169,0.531040952,34.38968645,MADIBO PRI,Bukhayo East,0.531040952,34.38968645,0.1652097557,34.57255323,0.1471202442,34.55458673,1
Busia,1,Teso South,4,Chakol North,19,ACIIT PRI SCH,172,0.53539,34.181739,AMAASE PRI SCH,Chakol South,0.520632,34.182262,0.3546047965,34.56249841,0.3365152034,34.54453155,1
Siaya,3,Gem,16,North Gem,69,GOGO PRIMARY,173,0.09662,34.422814,MUSEMBE PRIMARY,North Gem,0.114231,34.42209,0.2745746759,34.93321823,0.2564886574,34.91525506,3
Busia,1,Teso North,3,Malaba South,15,KATANYU PRI SCH,184,0.60423,34.264201,ONYUNYUR PRI SCH,Malaba South,0.600466,34.275595,0.3461970723,34.41415067,0.3281062609,34.39618263,1
Busia,1,Nambale,2,Bukhayo North/Waltsi,9,KOKARE PRI SCH,186,0.612589,34.322913,KAPINA PRI,Bukhayo North/Waltsi,0.59642,34.33109,0.5216370891,34.7867809,0.5035495772,34.76881572,1
Busia,1,Teso South,4,Chakol North,19,MORUKAMOSING PRI SCH,197,0.5335,34.22006,MORUKAMOSING PRI SCH,Chakol North,0.5335,34.22006,0.3503529339,34.60730821,0.3322637325,34.58934175,1
Busia,1,Teso South,4,Ang'Orom,18,ALUPE PRI SCH,201,0.49921,34.12645,BLUE BELLS PRI SCH,Ang'Orom,0.50281,34.13239,0.4531997765,34.56660016,0.4351102232,34.54863313,1
Siaya,3,Ugunja,18,Sigomere,78,GOT OSIMBO PRIMARY,210,0.19012,34.33012,GOT OSIMBO PRIMARY,Sigomere,0.19012,34.33012,0.3887583483,34.86821867,0.3706716515,34.85025462,4
Busia,1,Teso South,4,Chakol South,20,OBUCUUN PRI SCH,213,0.56501,34.13083,OBUCUUN PRI SCH,Chakol South,0.56501,34.13083,0.3871417338,34.49824038,0.3690515994,34.48027292,1
Siaya,3,Ugenya,17,East Ugenya,73,LUANDA PRIMARY,215,0.263766,34.316381,LUANDA PRIMARY,East Ugenya,0.263766,34.316381,0.2004337672,34.78578227,0.1823462327,34.76781769,4
Siaya,3,Gem,16,East Gem,68,ONDING PRIMARY,223,0.02422,34.500076,ONDING PRIMARY,East Gem,0.02422,34.500076,0.1747528395,34.29876732,0.1566611604,34.28079865,3
Busia,1,Teso North,3,Ang'Urai South,13,RWATAMA PRI SCH,231,0.68994,34.39791,KOLANYA GIRLS PRI SCH,Ang'Urai South,0.706308,34.394811,0.4555588286,34.39032421,0.4374678378,34.37235575,1
Busia,1,Nambale,2,Bukhayo North/Waltsi,9,MUSOKOTO DEB PRI,234,0.5065,34.32033,MUSOKOTO DEB PRI,Bukhayo North/Waltsi,0.5065,34.32033,0.5866335417,34.82928079,0.568546458,34.81131583,1
Busia,1,Butula,1,Marachi West,6,BUJUMBA PRI SCH,235,0.323854,34.215296,BUKHWAKU PRI SCH,Marachi West,0.338069,34.20651,0.508778863,34.38007415,0.4906877968,34.36210547,1
Busia,1,Teso North,3,Malaba South,15,ADURUKOIT PRI SCH,238,0.62449,34.36592,ST. JAMES KOTEKO PRI SCH,Malaba South,0.61393,34.3716,0.4456749573,34.52425033,0.4275850425,34.50628296,1
Siaya,3,Gem,16,South Gem,70,ULAMBA PRIMARY,239,-0.040037,34.403044,OJOLA PRIMARY,South Gem,-0.030672,34.395012,0.2400183492,34.86854354,0.2219316507,34.85057975,3
Busia,1,Nambale,2,Bukhayo North/Waltsi,9,DULIENGE PRI,249,0.567562387,34.36109925,DULIENGE PRI,Bukhayo North/Waltsi,0.567562387,34.36109925,0.5702737323,34.79123928,0.5521862674,34.773274,1
Busia,1,Butula,1,Marachi East,4,KALALANI PRI SCH,252,0.334631,34.356714,MUNGABO PRI SCH,Marachi East,0.322719,34.350413,0.1610239517,34.7480341,0.1429360482,34.73006919,1
Siaya,3,Gem,16,South Gem,70,ODOK RERA PRIMARY,254,-0.00257,34.4412,ODOK RERA PRIMARY,South Gem,-0.00257,34.4412,0.2993845763,34.95171148,0.281298757,34.93374847,3
Siaya,3,Gem,16,Yala Township,72,BAR SAURI PRIMARY,255,0.1149,34.52085,ANYIKO PRIMARY,Yala Township,0.12165,34.53754,0.2337871749,34.77054403,0.2156994916,34.75257926,4
Siaya,3,Ugenya,17,North Ugenya,74,JERA PRIMARY,259,0.28897,34.2605,NYAMSENDA PRIMARY,North Ugenya,0.27695,34.25631,0.4998453589,34.79975914,0.4817579743,34.78179415,4
Siaya,3,Ugenya,17,North Ugenya,74,SEGA TOWNSHIP PRIMARY,277,0.258111,34.225601,POWER STAR ACADEMY PRIMARY SCH,North Ugenya,0.272897,34.224319,0.4334514844,34.90586019,0.415365182,34.88789643,4
Siaya,3,Ugunja,18,Sidindi,77,RANG'ALA GIRLS PRIMARY,278,0.152889,34.329518,RANG'ALA GIRLS PRIMARY,Sidindi,0.152889,34.329518,0.5071248587,34.89770032,0.4890384744,34.8797363,4
Siaya,3,Gem,16,South Gem,70,OJWACH PRIMARY,287,-0.0141,34.51517,OJWACH PRIMARY,South Gem,-0.0141,34.51517,0.3972497543,34.91805175,0.3791635789,34.9000882,3
Busia,1,Teso North,3,Ang'Urai East,11,KAWALUN PRI SCH,293,0.753869,34.390758,KAWALUN PRI SCH,Ang'Urai East,0.753869,34.390758,0.3636688322,34.30000345,0.3455771676,34.28203452,1
Siaya,3,Gem,16,North Gem,69,NDEGWE PRIMARY,298,0.105899,34.372995,NDEGWE PRIMARY,North Gem,0.105899,34.372995,0.3440752264,34.8269505,0.3259881068,34.80898612,3
Busia,1,Teso North,3,Ang'Urai South,13,ABOLOI PRI SCH,299,0.65922,34.39541,ABOLOI PRI SCH,Ang'Urai South,0.65922,34.39541,0.4522335288,34.46646391,0.4341431376,34.44849605,1
Busia,1,Nambale,2,Bukhayo East,8,EMAKINA PRI,306,0.455008243,34.30359506,EMAKINA PRI,Bukhayo East,0.455008243,34.30359506,0.228979291,34.1655528,0.2108867089,34.14758317,1
Siaya,3,Ugunja,18,Sidindi,77,ST. ANTHONY ULUTHE PRIMARY SCH,343,0.180848,34.372014,LUOKA PRIMARY,Sidindi,0.18297,34.384916,0.4301936446,34.80967734,0.4121063552,34.79171262,4
Siaya,3,Gem,16,Central Gem,67,SIRIWO PRIMARY,360,0.07644,34.42637,GINGA VALLEY PRIMARY,West Gem,0.059977,34.425286,0.2992105636,34.75898413,0.2811227696,34.74101916,3
Siaya,3,Gem,16,East Gem,68,MINDHINE PRIMARY,378,0.04823,34.53148,MINDHINE PRIMARY,East Gem,0.04823,34.53148,0.2891191041,34.71583099,0.2710308958,34.69786563,3
Busia,1,Teso North,3,Ang'Urai East,11,MATUMBAI SA PRI SCH,392,0.748111,34.429407,MATUMBAI SA PRI SCH,Ang'Urai East,0.748111,34.429407,0.373030226,34.45935219,0.3549397738,34.44138444,1
Siaya,3,Gem,16,South Gem,70,OJWAYA PRIMARY,408,-0.04088,34.44584,OJWAYA PRIMARY,South Gem,-0.04088,34.44584,0.1992384717,34.84473197,0.1811515282,34.82676798,3
Siaya,3,Ugenya,17,Ukwala,75,ST. MARY'S UKWALA BOYS PRIMARY,422,0.195277,34.184732,ST. PATRICKS UKWALA GIRLS PRIMARY,Ukwala,0.194298,34.18586,0.441289922,34.8859253,0.4232034112,34.86796132,4
Siaya,3,Gem,16,West Gem,71,BAR KAWANDU PRIMARY,431,0.064139,34.378299,MALUNGA PRIMARY,West Gem,0.069459,34.392017,0.2389085722,34.82481043,0.2208214277,34.80684619,4
Siaya,3,Ugenya,17,East Ugenya,73,UMER PRIMARY,433,0.304989,34.31391,UMER PRIMARY,East Ugenya,0.304989,34.31391,0.5291935542,34.82715238,0.5111064455,34.80918758,4
Siaya,3,Ugunja,18,Sidindi,77,RUWE PRIMARY,447,0.196856,34.416663,WANG'OTONG PRIMARY,Sidindi,0.194413,34.424793,0.4054104754,34.77663248,0.3873228578,34.75866748,4
Siaya,3,Ugunja,18,Ugunja,79,MBOSIE PRIMARY,449,0.218969,34.328035,WIYA MAGOYA PRIMARY,Ugunja,0.227966,34.316797,0.4657388848,34.76075429,0.447651115,34.742789,4
Busia,1,Nambale,2,Nambale Township,10,MATUNDA PAROCHIAL PRI SCH,459,0.485022574,34.26000775,SEGERO PRI,Nambale Township,0.5004756,34.26794852,0.6176515221,34.89765382,0.5995651442,34.87968947,1
Busia,1,Teso South,4,Chakol South,20,KEMODO PRI SCH,476,0.47115,34.18419,OTIMONG PRI SCH,Chakol South,0.47438,34.18912,0.3211497754,34.56753002,0.3030602245,34.54956327,1
Siaya,3,Gem,16,North Gem,69,INUKA MIXED BOARDING ACADEMY,478,0.146987,34.397731,MURUMBA YIRO PRIMARY,North Gem,0.150225,34.396162,0.2575244661,34.97216134,0.2394388671,34.95419861,3
Busia,1,Teso South,4,Ang'Orom,18,ST. BENADITTE OJAMII S.U,491,0.46805,34.1159,ST. BENADITTE OJAMII S.U,Ang'Orom,0.46805,34.1159,0.3726729673,34.63297635,0.3545839963,34.61501008,1
Busia,1,Teso North,3,Malaba Central,14,WIMAR PRI SCH,492,0.63536,34.27918,MALABA TOWNSHIP PRI SCH,Malaba Central,0.63984,34.28471,0.4240134662,34.48201382,0.4059232002,34.46404615,1
Busia,1,Teso South,4,Amukura West,17,KAKIRIAMAS PRI SCH,502,0.620514,34.222726,KAKIRIAMAS PRI SCH,Amukura West,0.620514,34.222726,0.4219964364,34.56835012,0.4039068967,34.55038318,1
Busia,1,Butula,1,Marachi West,6,SIFA SCHOOL,503,0.3033,34.20493,NYAMWANGA PRI SCH,Marachi West,0.293037,34.21543,0.1715183001,34.52311011,0.1534283665,34.50514318,1
Kakamega,2,Butere,5,Marama West,24,Manyika Primary,517,0.23173,34.533745,Mercy Academy,Marama West,0.228595,34.519607,0.393055243,34.60010525,0.3749659796,34.58213864,2
Kakamega,2,Butere,5,Marama North,22,Mwilala Primary,551,0.202872,34.584928,Ebutunyi Primary,Marama North,0.211897,34.57774,0.2859120422,34.42210726,0.267821291,34.40413937,1
Kakamega,2,Butere,5,Marenyo - Shianda,25,Eshisisia P School,555,0.19391,34.541735,Emarenyo Primary,Marenyo - Shianda,0.190193,34.530325,0.2602292089,34.19072974,0.2421367909,34.17276023,2
Kakamega,2,Butere,5,Marama Central,21,Ebuyoka Academy,570,0.250517,34.49795,Ebuyoka Academy,Marama Central,0.250517,34.49795,0.3343933408,34.51284526,0.3163033257,34.49487803,1
Kakamega,2,Butere,5,Marama West,24,Lunza Primary,587,0.237427,34.553222,Shitoyi Muslim Primary,Marama West,0.23429,34.56604,0.4403357726,34.62182498,0.4222467045,34.60385847,2
Kakamega,2,Butere,5,Marama South,23,Eshishebu Primary,589,0.195388,34.487907,Emauko,Marenyo - Shianda,0.181333,34.488597,0.2362318409,34.47271869,0.2181414924,34.45475127,2
Kakamega,2,Butere,5,Marama South,23,Ebukuti,605,0.154968,34.442635,Manyala Primary,Marama South,0.160605,34.45315,0.2659285068,34.47279037,0.2478381596,34.45482292,1
Kakamega,2,Lurambi,9,Butsotso South,36,Emulundu,624,0.242918,34.61759,Eshitari Primary School,Marama West,0.255662,34.602517,0.6095118805,34.28457982,0.5914201192,34.26661015,2
Kakamega,2,Lurambi,9,Butsotso Central,35,Cornerstone Academy,630,0.285502,34.644243,Eshiamboko,Butsotso Central,0.281533,34.636548,0.5296782013,34.19124702,0.5115857984,34.17327695,2
Kakamega,2,Lurambi,9,Sheywe,37,Emusala Special Unit.,631,0.330272,34.780027,Sr Karoli,Mahiakalo,0.321832,34.786005,0.6054656799,34.34007461,0.5873743198,34.32210535,2
Kakamega,2,Khwisero,7,Kisa North,31,Eshilibo Primary,648,0.186113,34.621595,Emulole,Kisa North,0.175303,34.623558,0.02949236057,34.4264768,0.01140163942,34.40850916,2
Kakamega,2,Lurambi,9,Butsotso Central,35,Ematetie Primary,657,0.249592,34.664845,Emahungu Primary,Butsotso Central,0.266575,34.668507,0.1232763421,34.4310738,0.1051856579,34.41310616,2
Kakamega,2,Lurambi,9,Sheywe,37,Shamtas J Academy,678,0.297833,34.740405,Sda Maraba,Sheywe,0.290167,34.750002,0.5425460749,34.22904491,0.5244539248,34.21107506,2
Kakamega,2,Lurambi,9,Shirere,38,Rush Academy,691,0.271133,34.717818,Kakamega Urban,Butsotso Central,0.280075,34.706848,0.3799256856,34.34022432,0.3618343142,34.32225565,2
Kakamega,2,Shinyalu,15,Isukha East,63,Friends Vikoshe Primary,715,0.259163,34.935927,Chirobani Primary,Isukha East,0.265532,34.924237,0.2209413601,34.5867232,0.2028519732,34.56875676,3
Kakamega,2,Shinyalu,15,Isukha East,63,Singila,718,0.248482,34.96318,Singila,Isukha East,0.248482,34.96318,0.2433347441,34.57502327,0.2252452558,34.5570567,3
Kakamega,2,Shinyalu,15,Isukha North,64,Goodwill Academy Lubao,729,0.329957,34.814492,St Anne Lubao,Isukha North,0.335032,34.817968,0.1903784062,34.49758023,0.1722882603,34.47961307,3
Kakamega,2,Shinyalu,15,Isukha East,63,Lukusi,735,0.345092,34.922187,Lukusi,Isukha East,0.345092,34.922187,0.1992382314,34.53930839,0.1811484351,34.52134157,3
Kakamega,2,Shinyalu,15,Isukha East,63,Mukhuyu Pefa,737,0.28894,34.953342,Lunyu Primary,Isukha East,0.290342,34.94273,0.2595617,34.50693356,0.2414716333,34.4889664,3
Kakamega,2,Shinyalu,15,Isukha North,64,Victory Academy Ileho,738,0.372758,34.909937,Magale Primary,Isukha North,0.388207,34.90907,0.1696502178,34.4621337,0.1515597821,34.44416627,3
Kakamega,2,Shinyalu,15,Isukha South,65,Kwirenyi,779,0.190195,34.83575,Kwirenyi,Isukha South,0.190195,34.83575,0.2647062501,34.61149979,0.2466170831,34.59353351,3
Kakamega,2,Shinyalu,15,Isukha Central,62,Isecheno Primary,781,0.230975,34.859562,Isecheno Primary,Isukha Central,0.230975,34.859562,0.4164956192,34.35786429,0.3984043806,34.33989568,3
Kakamega,2,Shinyalu,15,Isukha Central,62,Brother Richard Davidson Academy,789,0.224935,34.815975,Lugala Primary,Isukha Central,0.229865,34.815828,0.237639943,34.52859013,0.2195500569,34.51062317,3
Kakamega,2,Shinyalu,15,Murhanda,66,Shamiloli Primary,796,0.272575,34.843935,Navangala Primary,Murhanda,0.275693,34.835817,0.4036457862,34.31256444,0.3855542136,34.29459552,3
Kakamega,2,Shinyalu,15,Isukha South,65,Shidodo Primary,798,0.231003,34.775292,St Augustine Mukumu Boys Primary,Isukha South,0.224743,34.761562,0.2905777634,34.64553132,0.272488903,34.62756531,3
Kakamega,2,Shinyalu,15,Murhanda,66,St Gerald Injira Primary,800,0.26542,34.794232,St Gerald Injira Primary,Murhanda,0.26542,34.794232,0.1843478236,34.63254131,0.1662588429,34.61457531,3
Kakamega,2,Shinyalu,15,Isukha South,65,St Peters Shirulu,807,0.187993,34.787917,Irobo,Isukha South,0.19139,34.7768,0.3308753865,34.79498731,0.3127879468,34.77702264,3
Kakamega,2,Malava,10,Butali/Chegulo,39,Joyspring Academy Matsakha,830,0.531983,34.812957,St Martins,Butali/Chegulo,0.52015,34.81817,0.511856362,34.14137515,0.4937636378,34.12340482,2
Kakamega,2,Malava,10,Butali/Chegulo,39,Mahusi Primary,834,0.481078,34.805922,Chegulo,Shirugu-Mugai,0.490802,34.790777,0.1991656926,34.33910418,0.1810743073,34.32113578,2
Kakamega,2,Malava,10,Butali/Chegulo,39,Star Academy Kabras Central,835,0.484387,34.836853,Tande Primary School,Butali/Chegulo,0.482188,34.848077,0.2728117421,34.32536528,0.2547202578,34.30739669,2
Kakamega,2,Malava,10,East Kabras,41,Kuvasali,844,0.417652,34.939352,Lukhokho,Chemuche,0.432308,34.941182,0.3471151254,34.21549472,0.3290228744,34.19752525,2
Kakamega,2,Malava,10,Chemuche,40,Kimangeti Primary,853,0.43182,34.910062,Isikhu,East Kabras,0.424408,34.896878,0.03326502628,34.50905947,0.01517497371,34.49109249,2
Kakamega,2,Malava,10,Chemuche,40,Notredem,868,0.444865,34.865668,Jilca,Chemuche,0.432247,34.876943,0.5155457223,34.32931452,0.4974542774,34.31134545,2
Kakamega,2,Malava,10,East Kabras,41,Soi Academy,870,0.386928,34.954905,Mukhuyu,East Kabras,0.373448,34.949505,0.6229755274,34.38058449,0.6048844723,34.36261547,2
Kakamega,2,Malava,10,Chemuche,40,Munyanya,882,0.463803,34.896437,Munyanya,Chemuche,0.463803,34.896437,0.7153534349,34.40379557,0.6972625647,34.3858264,2
Kakamega,2,Malava,10,Manda-Shivanga,42,Gracious Academy Kabras North,892,0.573298,34.862057,Manda K Primary,Manda-Shivanga,0.573137,34.864437,0.3317646152,34.3593972,0.3136733847,34.34142877,2
Kakamega,2,Malava,10,Manda-Shivanga,42,Center Academy,910,0.494558,34.893773,Fubuye Primary,Manda-Shivanga,0.498082,34.888718,-0.02162655171,34.40399589,-0.03971744828,34.38602807,2
Kakamega,2,Malava,10,South Kabras,44,Ingwe Primary,921,0.396367,34.76765,Ingwe Primary,South Kabras,0.396367,34.76765,0.2859959563,34.2652945,0.2679040436,34.24732547,2
Kakamega,2,Malava,10,South Kabras,44,Lusumu K Primary,929,0.42115,34.800695,Lusumu K Primary,South Kabras,0.42115,34.800695,0.06514316625,34.47502761,0.04705283372,34.45706035,2
Kakamega,2,Malava,10,South Kabras,44,St Gerald,951,0.375618,34.84138,Shanda,East Kabras,0.379715,34.859237,0.2819430665,34.23330361,0.2638509334,34.21533436,2
Kakamega,2,Malava,10,South Kabras,44,Ingavira Primary,954,0.3865,34.817392,Shamoni Primary,South Kabras,0.384273,34.800467,0.130694868,34.54652333,0.112605132,34.52855663,2
Kakamega,2,Malava,10,Shirugu-Mugai,43,Chombeli Ecd,979,0.456695,34.751772,Chombeli Ecd,Shirugu-Mugai,0.456695,34.751772,0.006475266563,34.45018371,-0.01161526656,34.43221625,2
