cluster_key,village_name,village_code,ward_name,ward_code
43,Adamusi,316,Amukura East,115
43,Asing'e,315,Amukura East,115
43,Atutur,141,Amukura East,115
43,Kamunoit,317,Amukura East,115
43,Konguriat,314,Amukura East,115
43,Town b,313,Amukura East,115
502,Akiriamas,142,Amukura West,116
502,Katilemu,455,Amukura West,116
502,Koruruma,457,Amukura West,116
502,Odiria,456,Amukura West,116
491,Agolot,452,Ang'Orom,117
491,Fort jesus,451,Ang'Orom,117
491,International  A,450,Ang'Orom,117
491,International b,143,Ang'Orom,117
491,Ojamii,453,Ang'Orom,117
491,Omeri,449,Ang'Orom,117
491,Shark,448,Ang'Orom,117
293,Ajesimut,412,Ang'Urai East,110
293,Kawalun,413,Ang'Urai East,110
293,Korisai,127,Ang'Urai East,110
392,Apokor,429,Ang'Urai East,110
392,Asinge,430,Ang'Urai East,110
392,Kopiya,128,Ang'Urai East,110
17,Akiriamet,129,Ang'Urai North,111
147,Aburikode,132,Ang'Urai South,112
147,Cheraani,365,Ang'Urai South,112
147,Kaeste,366,Ang'Urai South,112
147,Kilabruk,133,Ang'Urai South,112
231,Apokor,396,Ang'Urai South,112
231,Apopong,395,Ang'Urai South,112
231,Atapara,134,Ang'Urai South,112
231,Otekwa,135,Ang'Urai South,112
299,Aboloi B,416,Ang'Urai South,112
299,Alupe,419,Ang'Urai South,112
299,Apokor,417,Ang'Urai South,112
299,Gormait,130,Ang'Urai South,112
299,Ochari,418,Ang'Urai South,112
299,Otubokin,131,Ang'Urai South,112
108,Buyofu  A,347,Bukhayo East,107
108,Buyofu B,346,Bukhayo East,107
108,Elwanikha  B,350,Bukhayo East,107
108,Elwanikha A,114,Bukhayo East,107
108,Fwatana,348,Bukhayo East,107
108,Karungu,115,Bukhayo East,107
108,Makaka,351,Bukhayo East,107
108,Makutano,345,Bukhayo East,107
108,Sianda,349,Bukhayo East,107
169,Luhuna,372,Bukhayo East,107
169,Madibo Central,117,Bukhayo East,107
169,Madibo township,374,Bukhayo East,107
169,Mayanja,373,Bukhayo East,107
169,Nangeni  B,375,Bukhayo East,107
169,Nangeni A,118,Bukhayo East,107
306,Avusakadi A,421,Bukhayo East,107
306,Avusakadi B,420,Bukhayo East,107
306,Emakina,116,Bukhayo East,107
186,Akudiet,385,Bukhayo North/Waltsi,108
186,Atoot,121,Bukhayo North/Waltsi,108
186,Mashambani,122,Bukhayo North/Waltsi,108
186,Nauria,383,Bukhayo North/Waltsi,108
186,Ojamii,384,Bukhayo North/Waltsi,108
234,Logiri,397,Bukhayo North/Waltsi,108
234,Makutano,123,Bukhayo North/Waltsi,108
234,Musokoto,398,Bukhayo North/Waltsi,108
234,Walatsi,124,Bukhayo North/Waltsi,108
249,Bulibuli,401,Bukhayo North/Waltsi,108
249,Dulienge B,119,Bukhayo North/Waltsi,108
249,Kilimo,402,Bukhayo North/Waltsi,108
249,Muyala,403,Bukhayo North/Waltsi,108
249,Nambere,120,Bukhayo North/Waltsi,108
1442,Butuma A,644,Bunyala Central,154
1442,Musabale A,645,Bunyala Central,154
1442,Musabale B,227,Bunyala Central,154
1426,Lutaso,643,Bunyala East,155
1426,Lutaso village,228,Bunyala East,155
1426,Mukwa,640,Bunyala East,155
1426,Mukwaa,639,Bunyala East,155
1426,Namukhokhome village,642,Bunyala East,155
1426,Sikhokhochole village,641,Bunyala East,155
