# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1772141488
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=stanfit/basic_model_0_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_strata,stratum_intercept.1,stratum_intercept.2,stratum_intercept.3,beta.1.1,beta.2.1,beta.3.1,beta.1.2,beta.2.2,beta.3.2,beta.1.3,beta.2.3,beta.3.3,dist_effects.1.1,dist_effects.2.1,dist_effects.3.1,incentive_dist_effects.1.1,incentive_dist_effects.2.1,incentive_dist_effects.3.1,incentive_dist_effects.1.2,incentive_dist_effects.2.2,incentive_dist_effects.3.2,incentive_dist_effects.1.3,incentive_dist_effects.2.3,incentive_dist_effects.3.3,cluster_effects.1,cluster_effects.2,cluster_effects.3,cluster_effects.4,cluster_effects.5,cluster_effects.6,cluster_effects.7,cluster_effects.8,cluster_effects.9,cluster_effects.10,cluster_effects.11,cluster_effects.12,cluster_effects.13,cluster_effects.14,cluster_effects.15,cluster_effects.16,cluster_effects.17,cluster_effects.18,cluster_effects.19,cluster_effects.20,cluster_effects.21,cluster_effects.22,cluster_effects.23,cluster_effects.24,cluster_effects.25,cluster_effects.26,cluster_effects.27,cluster_effects.28,cluster_effects.29,cluster_effects.30,cluster_effects.31,cluster_effects.32,cluster_effects.33,cluster_effects.34,cluster_effects.35,cluster_effects.36,cluster_effects.37,cluster_effects.38,cluster_effects.39,cluster_effects.40,cluster_effects.41,cluster_effects.42,cluster_effects.43,cluster_effects.44,cluster_effects.45,cluster_effects.46,cluster_effects.47,cluster_effects.48,cluster_effects.49,cluster_effects.50,cluster_effects.51,cluster_effects.52,cluster_effects.53,cluster_effects.54,cluster_effects.55,cluster_effects.56,cluster_effects.57,cluster_effects.58,cluster_effects.59,cluster_effects.60,cluster_effects.61,cluster_effects.62,cluster_effects.63,cluster_effects.64,cluster_effects.65,cluster_effects.66,cluster_effects.67,cluster_effects.68,cluster_effects.69,cluster_effects.70,cluster_effects.71,cluster_effects.72,cluster_effects.73,cluster_effects.74,cluster_effects.75,cluster_effects.76,cluster_effects.77,cluster_effects.78,cluster_effects.79,cluster_effects.80,cluster_effects.81,cluster_effects.82,cluster_effects.83,cluster_effects.84,cluster_effects.85,cluster_effects.86,cluster_effects.87,cluster_effects.88,cluster_effects.89,cluster_effects.90,cluster_effects.91,cluster_effects.92,cluster_effects.93,cluster_effects.94,cluster_effects.95,cluster_effects.96,cluster_effects.97,cluster_effects.98,cluster_effects.99,cluster_effects.100,cluster_effects.101,cluster_effects.102,cluster_effects.103,cluster_effects.104,cluster_effects.105,cluster_effects.106,cluster_effects.107,cluster_effects.108,cluster_effects.109,cluster_effects.110,cluster_effects.111,cluster_effects.112,cluster_effects.113,cluster_effects.114,cluster_effects.115,cluster_effects.116,cluster_effects.117,cluster_effects.118,cluster_effects.119,cluster_effects.120,cluster_effects.121,cluster_effects.122,cluster_effects.123,cluster_effects.124,cluster_effects.125,cluster_effects.126,cluster_effects.127,cluster_effects.128,cluster_effects.129,cluster_effects.130,cluster_effects.131,cluster_effects.132,cluster_effects.133,cluster_effects.134,cluster_effects.135,cluster_effects.136,cluster_effects.137,cluster_effects.138,cluster_effects.139,cluster_effects.140,cluster_effects.141,cluster_effects.142,cluster_effects.143,cluster_effects.144,tau_beta.1,tau_beta.2,tau_beta.3,tau_dist.1,tau_incentive_dist.1,tau_incentive_dist.2,tau_incentive_dist.3,tau_cluster_effect,Sigma_beta.1.1,Sigma_beta.2.1,Sigma_beta.3.1,Sigma_beta.1.2,Sigma_beta.2.2,Sigma_beta.3.2,Sigma_beta.1.3,Sigma_beta.2.3,Sigma_beta.3.3,Sigma_dist.1.1,Sigma_incentive_dist.1.1,Sigma_incentive_dist.2.1,Sigma_incentive_dist.3.1,Sigma_incentive_dist.1.2,Sigma_incentive_dist.2.2,Sigma_incentive_dist.3.2,Sigma_incentive_dist.1.3,Sigma_incentive_dist.2.3,Sigma_incentive_dist.3.3
-6056.21,1,0.0625,2,3,0,7129.38,1.07011,-2.09692,-0.747125,-1.82443,-0.608202,-0.92237,0.0346064,-1.38461,-1.01076,0.938001,0.505221,0.867939,-0.44306,0.26227,0.162799,-0.554046,-0.324902,-1.19386,0.601655,-1.26729,0.368735,-1.37063,-0.844615,-1.18997,0.294847,-0.528082,1.81263,-1.26432,-1.67385,-0.0627557,-0.807048,1.86131,1.58462,0.561539,1.71052,1.56707,-1.12466,0.484376,0.385114,1.31311,-0.9187,-0.399766,-1.51625,0.293347,0.850514,0.0834577,0.655058,-0.0938519,1.61783,-0.935374,-1.96436,2.06311,1.57594,1.19683,1.57304,0.546839,0.0653843,1.97341,-0.383073,1.56945,-0.89551,-0.512699,-0.0476296,-1.78091,1.5234,-1.81963,-1.0042,1.61279,0.0107143,-0.451172,-1.14857,0.0240714,0.867651,-0.0899717,-1.7496,0.349062,-0.115046,0.325962,-1.19442,-0.6028,1.57847,-1.33236,0.585308,1.12598,-1.40144,0.166111,1.51907,1.77103,1.67126,1.45638,-0.771186,0.67004,-0.957234,0.689663,-1.79506,1.3105,1.14858,-1.40844,-0.0258424,0.23491,1.74944,-1.97957,-1.38468,1.35726,1.51398,-0.51217,0.548882,0.831875,1.11227,-0.498994,-0.732674,-1.78839,1.46936,-1.78867,-0.618719,1.58945,-0.363875,1.41595,1.64809,-0.113224,1.02693,-0.293158,-1.69798,-0.758284,1.73971,-0.205661,-0.139495,1.42625,-1.69455,0.314,-0.374874,-0.687779,-1.25037,1.66217,0.822577,-0.869365,-2.00554,1.67759,-0.626202,0.648939,0.480653,1.98234,-0.154804,-0.151005,0.741819,1.20172,-0.438925,-1.84879,0.225859,1.80693,-1.86896,0.137215,-0.542646,-0.307178,1.27904,0.0905646,-1.2716,-1.5765,-0.95786,-0.067703,1.61142,0.62045,0.614807,0.685025,1.22804,-0.438467,-1.06221,-2.06164,1.328,1.56627,0.667879,0.230884,0.209699,3.87848,1.42283,7.26556,3.85435,1.56627,0,0,0,0.667879,0,0,0,0.230884,0.209699,3.87848,0,0,0,1.42283,0,0,0,7.26556
-6056.21,0,14.3855,0,1,1,6125.25,1.07011,-2.09692,-0.747125,-1.82443,-0.608202,-0.92237,0.0346064,-1.38461,-1.01076,0.938001,0.505221,0.867939,-0.44306,0.26227,0.162799,-0.554046,-0.324902,-1.19386,0.601655,-1.26729,0.368735,-1.37063,-0.844615,-1.18997,0.294847,-0.528082,1.81263,-1.26432,-1.67385,-0.0627557,-0.807048,1.86131,1.58462,0.561539,1.71052,1.56707,-1.12466,0.484376,0.385114,1.31311,-0.9187,-0.399766,-1.51625,0.293347,0.850514,0.0834577,0.655058,-0.0938519,1.61783,-0.935374,-1.96436,2.06311,1.57594,1.19683,1.57304,0.546839,0.0653843,1.97341,-0.383073,1.56945,-0.89551,-0.512699,-0.0476296,-1.78091,1.5234,-1.81963,-1.0042,1.61279,0.0107143,-0.451172,-1.14857,0.0240714,0.867651,-0.0899717,-1.7496,0.349062,-0.115046,0.325962,-1.19442,-0.6028,1.57847,-1.33236,0.585308,1.12598,-1.40144,0.166111,1.51907,1.77103,1.67126,1.45638,-0.771186,0.67004,-0.957234,0.689663,-1.79506,1.3105,1.14858,-1.40844,-0.0258424,0.23491,1.74944,-1.97957,-1.38468,1.35726,1.51398,-0.51217,0.548882,0.831875,1.11227,-0.498994,-0.732674,-1.78839,1.46936,-1.78867,-0.618719,1.58945,-0.363875,1.41595,1.64809,-0.113224,1.02693,-0.293158,-1.69798,-0.758284,1.73971,-0.205661,-0.139495,1.42625,-1.69455,0.314,-0.374874,-0.687779,-1.25037,1.66217,0.822577,-0.869365,-2.00554,1.67759,-0.626202,0.648939,0.480653,1.98234,-0.154804,-0.151005,0.741819,1.20172,-0.438925,-1.84879,0.225859,1.80693,-1.86896,0.137215,-0.542646,-0.307178,1.27904,0.0905646,-1.2716,-1.5765,-0.95786,-0.067703,1.61142,0.62045,0.614807,0.685025,1.22804,-0.438467,-1.06221,-2.06164,1.328,1.56627,0.667879,0.230884,0.209699,3.87848,1.42283,7.26556,3.85435,1.56627,0,0,0,0.667879,0,0,0,0.230884,0.209699,3.87848,0,0,0,1.42283,0,0,0,7.26556
-6056.21,0,2.43117,0,1,1,6140.92,1.07011,-2.09692,-0.747125,-1.82443,-0.608202,-0.92237,0.0346064,-1.38461,-1.01076,0.938001,0.505221,0.867939,-0.44306,0.26227,0.162799,-0.554046,-0.324902,-1.19386,0.601655,-1.26729,0.368735,-1.37063,-0.844615,-1.18997,0.294847,-0.528082,1.81263,-1.26432,-1.67385,-0.0627557,-0.807048,1.86131,1.58462,0.561539,1.71052,1.56707,-1.12466,0.484376,0.385114,1.31311,-0.9187,-0.399766,-1.51625,0.293347,0.850514,0.0834577,0.655058,-0.0938519,1.61783,-0.935374,-1.96436,2.06311,1.57594,1.19683,1.57304,0.546839,0.0653843,1.97341,-0.383073,1.56945,-0.89551,-0.512699,-0.0476296,-1.78091,1.5234,-1.81963,-1.0042,1.61279,0.0107143,-0.451172,-1.14857,0.0240714,0.867651,-0.0899717,-1.7496,0.349062,-0.115046,0.325962,-1.19442,-0.6028,1.57847,-1.33236,0.585308,1.12598,-1.40144,0.166111,1.51907,1.77103,1.67126,1.45638,-0.771186,0.67004,-0.957234,0.689663,-1.79506,1.3105,1.14858,-1.40844,-0.0258424,0.23491,1.74944,-1.97957,-1.38468,1.35726,1.51398,-0.51217,0.548882,0.831875,1.11227,-0.498994,-0.732674,-1.78839,1.46936,-1.78867,-0.618719,1.58945,-0.363875,1.41595,1.64809,-0.113224,1.02693,-0.293158,-1.69798,-0.758284,1.73971,-0.205661,-0.139495,1.42625,-1.69455,0.314,-0.374874,-0.687779,-1.25037,1.66217,0.822577,-0.869365,-2.00554,1.67759,-0.626202,0.648939,0.480653,1.98234,-0.154804,-0.151005,0.741819,1.20172,-0.438925,-1.84879,0.225859,1.80693,-1.86896,0.137215,-0.542646,-0.307178,1.27904,0.0905646,-1.2716,-1.5765,-0.95786,-0.067703,1.61142,0.62045,0.614807,0.685025,1.22804,-0.438467,-1.06221,-2.06164,1.328,1.56627,0.667879,0.230884,0.209699,3.87848,1.42283,7.26556,3.85435,1.56627,0,0,0,0.667879,0,0,0,0.230884,0.209699,3.87848,0,0,0,1.42283,0,0,0,7.26556
-6056.21,0,0.239791,0,1,1,6153.67,1.07011,-2.09692,-0.747125,-1.82443,-0.608202,-0.92237,0.0346064,-1.38461,-1.01076,0.938001,0.505221,0.867939,-0.44306,0.26227,0.162799,-0.554046,-0.324902,-1.19386,0.601655,-1.26729,0.368735,-1.37063,-0.844615,-1.18997,0.294847,-0.528082,1.81263,-1.26432,-1.67385,-0.0627557,-0.807048,1.86131,1.58462,0.561539,1.71052,1.56707,-1.12466,0.484376,0.385114,1.31311,-0.9187,-0.399766,-1.51625,0.293347,0.850514,0.0834577,0.655058,-0.0938519,1.61783,-0.935374,-1.96436,2.06311,1.57594,1.19683,1.57304,0.546839,0.0653843,1.97341,-0.383073,1.56945,-0.89551,-0.512699,-0.0476296,-1.78091,1.5234,-1.81963,-1.0042,1.61279,0.0107143,-0.451172,-1.14857,0.0240714,0.867651,-0.0899717,-1.7496,0.349062,-0.115046,0.325962,-1.19442,-0.6028,1.57847,-1.33236,0.585308,1.12598,-1.40144,0.166111,1.51907,1.77103,1.67126,1.45638,-0.771186,0.67004,-0.957234,0.689663,-1.79506,1.3105,1.14858,-1.40844,-0.0258424,0.23491,1.74944,-1.97957,-1.38468,1.35726,1.51398,-0.51217,0.548882,0.831875,1.11227,-0.498994,-0.732674,-1.78839,1.46936,-1.78867,-0.618719,1.58945,-0.363875,1.41595,1.64809,-0.113224,1.02693,-0.293158,-1.69798,-0.758284,1.73971,-0.205661,-0.139495,1.42625,-1.69455,0.314,-0.374874,-0.687779,-1.25037,1.66217,0.822577,-0.869365,-2.00554,1.67759,-0.626202,0.648939,0.480653,1.98234,-0.154804,-0.151005,0.741819,1.20172,-0.438925,-1.84879,0.225859,1.80693,-1.86896,0.137215,-0.542646,-0.307178,1.27904,0.0905646,-1.2716,-1.5765,-0.95786,-0.067703,1.61142,0.62045,0.614807,0.685025,1.22804,-0.438467,-1.06221,-2.06164,1.328,1.56627,0.667879,0.230884,0.209699,3.87848,1.42283,7.26556,3.85435,1.56627,0,0,0,0.667879,0,0,0,0.230884,0.209699,3.87848,0,0,0,1.42283,0,0,0,7.26556
-5019.82,1,0.0186273,4,15,0,6133.94,0.770849,-1.03523,-1.06801,-0.734078,0.659191,0.293636,0.289799,0.0682989,-0.440924,1.24513,0.123384,1.19568,-0.083781,-0.297742,-0.399989,-0.88731,-0.0509757,-0.615154,0.80658,-1.02272,0.753541,-1.86999,-1.15836,0.059276,0.732752,-0.226766,1.36522,-0.721027,-1.15022,-0.219291,-0.542904,1.69877,1.57902,0.492738,1.41872,1.02491,-1.15313,0.381773,0.311144,1.94671,-0.972284,0.0248372,-1.25984,0.37494,1.35219,0.291513,0.615761,-0.110062,0.990733,-0.421709,-1.82181,1.79324,1.67442,1.15355,1.2637,0.0203265,0.0877224,1.60571,-0.446443,1.47804,-0.436696,-0.80933,0.487257,-1.61918,1.37775,-1.2171,-0.795568,1.42249,-0.169963,-0.23087,-0.767164,0.271076,0.88461,0.395353,-1.37177,0.940294,0.09681,0.174164,-1.01641,-0.752284,1.56955,-1.20901,0.675456,0.787344,-1.23467,0.724277,1.26467,0.699679,1.06491,1.31032,-0.232755,0.75858,-0.753021,0.926709,-1.57467,1.21915,0.840766,-1.08331,-0.0889821,0.00222918,1.22928,-2.01502,-0.357548,0.437039,1.1215,-0.473589,0.52025,0.529419,0.533638,-0.267099,-0.319343,-1.59071,1.26119,-1.48063,-0.121324,0.795739,-0.525528,1.00223,0.956868,-0.192438,0.337018,-0.697579,-1.54283,-0.861208,1.64289,-0.16531,0.219596,0.816561,-0.947816,0.364181,-0.313864,-0.622774,-1.58058,1.24547,1.00802,-0.768339,-1.81047,1.16275,-0.886045,0.694191,0.32086,1.88445,-0.171014,0.187997,0.230814,1.15698,0.440843,-1.06846,-0.0152735,1.51438,-1.52316,0.0910339,-0.0631421,-0.110172,0.824291,-0.106358,-0.871308,-1.53703,-0.583662,0.27299,1.52733,0.585734,1.26423,0.133559,1.38973,-0.350535,-0.829167,-1.8954,1.4176,1.41211,0.677326,0.30177,0.261544,3.674,1.30374,7.84781,0.54513,1.41211,0,0,0,0.677326,0,0,0,0.30177,0.261544,3.674,0,0,0,1.30374,0,0,0,7.84781
-4910.46,1,0.0257257,4,15,0,5092.81,0.870795,-1.05683,-0.923454,-0.833061,0.621525,0.29103,0.408924,0.0942713,-0.435428,1.2603,0.190414,1.26385,-0.134352,-0.264877,-0.313007,-0.875634,0.00374954,-0.551765,0.849125,-1.08658,0.732216,-1.78901,-1.14302,0.0956304,0.800836,-0.156148,1.41604,-0.691443,-1.1066,-0.161107,-0.549084,1.68918,1.54753,0.422413,1.37187,1.05465,-1.16759,0.32475,0.216659,1.9296,-0.944747,0.0411746,-1.32751,0.209855,1.32418,0.3477,0.591264,-0.088864,0.99296,-0.386109,-1.76091,1.81421,1.67285,1.24625,1.25175,0.105889,0.0142341,1.51415,-0.424959,1.55994,-0.490512,-0.887143,0.472273,-1.55629,1.3427,-1.12021,-0.755718,1.44159,-0.177586,-0.231547,-0.796741,0.205848,0.785366,0.472086,-1.35867,0.898402,0.140783,0.15905,-0.973988,-0.713335,1.54039,-1.21425,0.684456,0.837721,-1.25897,0.77212,1.22279,0.717971,1.07918,1.35575,-0.23997,0.756589,-0.778604,0.90423,-1.51223,1.24147,0.834922,-1.0759,-0.100519,-0.0217576,1.18132,-2.0769,-0.426171,0.355689,1.15633,-0.364884,0.502531,0.620452,0.616607,-0.239451,-0.216406,-1.5951,1.27882,-1.4933,-0.00560556,0.780033,-0.55665,0.903006,0.937004,-0.126038,0.301131,-0.623118,-1.57207,-0.831187,1.70042,-0.141564,0.17148,0.820279,-0.852831,0.347084,-0.295562,-0.567325,-1.5431,1.30354,1.05688,-0.743029,-1.7433,1.10335,-0.823439,0.706514,0.281778,1.91104,-0.169808,0.215471,0.249799,1.13186,0.420722,-0.957973,0.00127292,1.56118,-1.53575,0.082685,-0.111048,-0.124991,0.832385,-0.19458,-0.884399,-1.47703,-0.595512,0.30108,1.51253,0.549417,1.16761,0.136073,1.31397,-0.399064,-0.802254,-1.81853,1.46147,1.44402,0.697057,0.319158,0.252251,3.3914,1.29495,7.84299,0.75783,1.44402,0,0,0,0.697057,0,0,0,0.319158,0.252251,3.3914,0,0,0,1.29495,0,0,0,7.84299
-4432.78,1,0.0404064,4,15,0,4983.93,3.14563,-1.32823,-0.721611,-0.43325,0.603199,-0.0696175,-0.0985952,0.15275,-0.784892,0.633443,0.577667,0.637329,-0.591411,-0.00744166,-0.25893,-0.588456,-0.230464,-0.331561,-0.0615019,-0.46961,0.861323,-1.47647,-0.374091,0.676886,1.059,0.394786,1.08844,-0.161638,-0.149198,-0.532111,0.0440509,0.727631,0.245815,0.209145,1.68528,0.0497242,-1.17364,0.0814618,-0.497067,1.57158,-0.294057,0.675164,-0.59527,0.35503,1.12408,0.296247,0.748271,-0.616305,0.505136,-0.241184,-1.39454,0.840911,1.13641,1.45043,1.39271,0.695099,0.282784,0.660194,-0.490779,1.98436,-0.459385,-0.833759,0.230276,-1.47786,-0.0388682,-0.546062,0.0753403,1.34801,-0.357102,-0.255145,-0.209583,-0.149149,0.351447,1.09639,-0.742659,0.47034,0.414845,-0.328954,-0.75364,-0.0474066,1.01222,-1.15285,0.426278,-0.120779,-0.992154,1.13437,1.43783,0.490068,0.635265,1.3172,0.418756,0.424222,-0.932204,0.872951,-0.610551,1.06429,0.0971015,-0.330643,-0.786855,0.000262931,0.197407,-1.86937,-0.0520157,-0.527043,0.547432,-0.135225,0.459731,0.556088,-0.00884912,0.476932,0.621648,-1.49516,0.986379,-0.884545,0.488397,-0.148258,-0.298578,0.298619,0.145455,-0.0410787,-0.458088,0.0464289,-1.10174,-0.229278,0.700142,0.385502,-0.0441242,0.761739,0.260254,0.272124,-0.213771,-0.586817,-1.17583,0.858064,1.14536,-0.862397,-1.41936,0.679078,-0.708148,1.63675,-0.241942,1.50677,0.143711,0.190109,-0.0168961,0.95162,0.662979,-0.728102,0.450754,0.998587,-0.560281,-0.214689,0.157146,-0.40078,0.217214,-0.744224,0.10829,-1.20441,-0.557307,0.351863,1.4482,0.41783,1.26121,0.47566,1.17145,0.221866,-0.413599,-1.6553,1.74445,1.38795,0.470101,0.65413,0.252124,4.99735,1.13438,6.58721,0.753753,1.38795,0,0,0,0.470101,0,0,0,0.65413,0.252124,4.99735,0,0,0,1.13438,0,0,0,6.58721
-4426.72,0.179781,0.0687243,2,5,1,4527.69,3.38723,-1.41678,-0.69353,-0.376711,0.594855,-0.00634108,-0.0882739,0.20775,-0.84643,0.587367,0.381318,0.697273,-0.632366,0.00398628,-0.306854,-0.587267,-0.218486,-0.376838,0.0544262,-0.27509,0.851836,-1.41684,-0.359821,0.66296,1.0218,0.446733,1.19083,-0.128844,-0.15561,-0.380695,0.0726028,0.598207,0.163802,0.179029,1.74363,0.100089,-1.13024,0.137468,-0.528981,1.62249,-0.327427,0.764061,-0.621815,0.33411,1.14856,0.283847,0.735871,-0.625017,0.407348,-0.207515,-1.38627,0.781831,1.01988,1.47632,1.38367,0.809661,0.285171,0.67278,-0.483636,1.95782,-0.430344,-0.949585,0.131462,-1.2737,0.117332,-0.497308,0.137213,1.27494,-0.358316,-0.118738,-0.229369,-0.052356,0.372371,1.06922,-0.690552,0.489081,0.482087,-0.408211,-0.807254,0.0560158,0.899501,-1.21766,0.576668,-0.213911,-0.908226,1.07146,1.32437,0.5964,0.516548,1.34682,0.429531,0.446478,-0.852817,0.903463,-0.687385,0.87951,0.0853991,-0.350169,-0.770561,-0.0446994,0.14412,-1.96517,0.0178599,-0.603113,0.430607,-0.10102,0.416869,0.481581,-0.0143989,0.517233,0.733677,-1.55908,0.884644,-0.931442,0.49347,-0.102616,-0.244745,0.241081,0.061591,-0.13956,-0.430822,0.0819515,-1.11977,-0.238584,0.690197,0.400604,-0.0282611,0.86967,0.430839,0.283806,-0.168848,-0.577353,-1.20682,0.81733,1.15815,-0.87457,-1.49152,0.735951,-0.688116,1.6434,-0.311832,1.53588,0.225401,0.204113,0.0265397,0.913112,0.682689,-0.626383,0.51807,1.04471,-0.609182,-0.145203,0.157336,-0.416193,0.295925,-0.769947,0.213004,-1.14417,-0.650192,0.341873,1.42232,0.366089,1.25994,0.547975,1.21302,0.13772,-0.503612,-1.69736,1.66983,1.22538,0.464949,0.649834,0.263651,4.59997,1.08074,5.33627,0.808163,1.22538,0,0,0,0.464949,0,0,0,0.649834,0.263651,4.59997,0,0,0,1.08074,0,0,0,5.33627
-4274.96,0.998854,0.00932656,7,127,0,4503.93,4.24281,-1.1047,-0.921435,-0.592632,0.0681979,0.101773,0.00665369,0.13414,-0.182451,0.770914,0.211077,0.849983,-0.386924,0.0699363,-0.591767,-0.970826,-0.142737,-0.0982955,1.1273,-0.925096,0.926252,-0.660592,-0.40929,0.467969,1.16687,1.3606,-0.179014,1.15694,0.799543,0.53682,0.355102,0.259072,0.246865,0.29581,1.77381,-0.395178,-0.734628,-0.53879,-1.55999,1.02217,-0.0294267,0.358124,-0.452539,0.527489,1.00984,0.86327,-0.0551656,-0.741514,-0.740772,0.836319,-0.965411,-0.119454,1.03128,0.503246,0.146402,0.575834,0.0529849,-0.511994,-0.576188,0.276151,-0.201102,-1.32919,0.649279,-0.313689,-0.014818,-0.183546,1.15289,0.259979,-0.821341,-0.53949,0.402504,-0.639633,0.679859,1.44337,0.200322,1.44647,0.559758,-0.471347,-0.341741,-0.145476,0.740626,-1.33517,-0.0147118,-0.192898,0.624662,0.610851,1.20351,-0.125881,-0.359706,0.036725,0.909946,0.400556,-0.989449,-0.127814,-0.345337,0.446643,-0.0440367,0.492811,-0.703101,-0.402521,-0.690931,-1.45503,0.422603,-2.21023,0.414486,0.773019,0.639716,0.977381,-0.0513743,1.18866,0.672186,-0.431899,0.544274,-0.561638,1.15915,-0.711296,-0.407786,-0.246694,-0.60764,0.213589,-0.419237,0.625428,0.226947,0.612922,0.852953,0.470267,0.024018,-0.0137077,1.13462,-0.386932,-0.225765,-0.20874,-0.614122,-0.0322166,0.108706,-0.700626,-0.16233,0.846586,-0.382743,1.50942,-0.287542,0.809372,-0.188662,0.74597,-0.00246013,0.0739299,0.748795,-0.0470644,0.986992,0.672297,0.0107102,-0.689296,0.557123,-0.461891,0.237242,-0.500659,1.23583,-0.305034,-0.188804,0.193505,1.26043,0.0890143,1.22473,0.254994,1.16827,-0.0666232,0.715632,-0.89349,2.1612,1.34521,0.33739,0.434823,0.274607,3.18993,0.979758,11.8021,0.776141,1.34521,0,0,0,0.33739,0,0,0,0.434823,0.274607,3.18993,0,0,0,0.979758,0,0,0,11.8021
-4222.62,0.999969,0.0168961,8,255,0,4354.39,2.41809,-0.679497,-0.563217,-0.935274,0.258644,-0.295199,0.0390166,0.479871,0.423623,0.220188,0.520421,0.340945,0.58181,-0.781305,-0.279682,-0.733313,0.654893,0.100231,1.07147,-0.707158,-0.351892,0.758578,0.619481,-0.502627,-0.802957,-0.376462,-0.272485,0.11016,0.819638,-0.53275,0.0317144,-0.14727,-0.412485,0.0374874,0.296443,0.280704,-0.106404,-0.366256,0.00590459,0.561219,0.935698,0.0293309,0.994264,0.246242,0.0363032,0.124321,-0.493609,-1.04778,-0.657662,-0.330201,-0.781392,-0.599515,0.874624,0.404853,-0.047706,-0.0569504,0.460668,-0.125802,-0.165813,-0.700644,0.282741,-0.467376,0.311487,-0.0913476,-0.501966,-0.0176058,0.273567,-0.366426,0.361418,0.940794,-0.653996,-0.113014,0.409914,0.102448,0.599489,0.512599,0.364567,0.0369435,0.486215,0.437497,0.610113,-0.881064,-0.115203,0.0468337,0.506312,0.686771,-0.342316,0.533561,-0.25644,0.226861,-0.418454,0.323497,-0.0481708,0.332636,0.391659,0.190055,-0.0649334,-0.351518,-0.417208,-0.099027,-0.697054,-0.229659,1.18903,-0.674237,0.201275,0.341134,0.647581,0.53006,0.145691,0.6994,0.823528,-0.197663,-0.0888536,-0.662587,-0.145148,-0.582519,0.157803,-0.575823,-0.472638,0.033608,0.334544,-0.193251,0.105111,0.350714,1.12635,0.148555,-0.494554,-0.465199,0.575669,0.232168,-0.301089,-0.595554,-0.552906,-0.174192,-0.274883,-0.174322,-0.405841,-0.0093475,-0.321792,0.286982,-0.851384,-0.496996,-0.00600222,0.210494,-1.74409,0.358849,0.246382,0.702457,0.539148,0.0052538,-0.172378,0.898031,1.12708,0.023764,-0.431455,-1.38972,0.413736,-0.42968,-0.110873,-0.0436006,1.21251,0.49066,-0.0827591,-0.628979,0.345965,0.335881,0.450239,-0.0692718,1.18543,0.166171,0.714475,0.493757,0.576939,4.07368,3.15252,1.582,0.519314,0.166171,0,0,0,0.714475,0,0,0,0.493757,0.576939,4.07368,0,0,0,3.15252,0,0,0,1.582
